                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.36202,                0.32823,                0.51323,                0.76863,                0.83666,                0.82618,                0.91984,                0.83729,                0.83666,                0.82618,                0.91971,                0.58905,                0.33581,                0.30507,                0.54733,                0.76827,              0.0004754,              0.0004754,              0.0004754
                     80,                0.36031,                0.33594,                0.51969,                0.76694,                 0.8528,                0.82594,                 0.9221,                0.84108,                 0.8528,                0.82594,                0.92182,                0.58853,                0.33915,                0.32804,                0.55538,                0.76875,              0.0004556,              0.0004556,              0.0004556
                     81,                0.35994,                0.34168,                0.51346,                0.76866,                0.83932,                0.83162,                0.92362,                0.83594,                0.83932,                0.83162,                0.92263,                0.59081,                0.33749,                 0.3055,                0.54817,                0.76899,              0.0004358,              0.0004358,              0.0004358
                     82,                0.35145,                0.33013,                0.50956,                 0.7669,                0.82831,                0.83247,                0.92278,                0.84123,                0.82831,                0.83247,                0.92235,                0.58679,                0.32796,                0.29749,                0.53408,                 0.7678,               0.000416,               0.000416,               0.000416
                     83,                0.35257,                0.33262,                0.50674,                0.76488,                0.87713,                0.79813,                0.92348,                 0.8438,                0.87713,                0.79813,                0.92297,                0.58976,                0.32651,                 0.3113,                0.53908,                0.76831,              0.0003962,              0.0003962,              0.0003962
                     84,                0.35187,                0.32848,                0.50795,                0.76614,                0.86486,                0.79917,                0.92385,                0.83854,                0.86374,                0.79813,                0.92187,                0.58715,                0.33571,                0.31531,                0.54316,                 0.7689,              0.0003764,              0.0003764,              0.0003764
                     85,                0.34562,                0.31659,                 0.5024,                0.76487,                 0.8367,                0.83559,                0.92369,                0.84397,                 0.8367,                0.83559,                0.92342,                0.58798,                0.32352,                0.31105,                0.53874,                0.76839,              0.0003566,              0.0003566,              0.0003566
                     86,                0.34996,                0.32668,                0.51071,                0.76877,                0.82968,                 0.8212,                0.92313,                0.84272,                0.82968,                 0.8212,                0.92261,                0.58233,                0.33111,                0.31273,                0.54079,                0.76826,              0.0003368,              0.0003368,              0.0003368
                     87,                0.34949,                0.32242,                0.50882,                0.76781,                0.86713,                0.80125,                 0.9241,                0.84103,                0.86713,                0.80125,                0.92386,                0.58983,                0.33007,                0.32152,                0.52911,                 0.7676,               0.000317,               0.000317,               0.000317
                     88,                0.34907,                0.32557,                0.51196,                0.76704,                0.84285,                0.81894,                0.92489,                0.84237,                0.84285,                0.81894,                0.92451,                0.58503,                0.32365,                0.29087,                0.52361,                0.76742,              0.0002972,              0.0002972,              0.0002972
